RecordType,UNIQUE_ID,Transaction Type,Transaction Currency,Transaction Amount,Billing Currency,Billing Amount,Settlement Date,Settlement Amount,Settlement Currency,System Date,Account Number,Account Id,VPAN,Masked PAN,Date Transmit,Time Transmit,Date Local,Time Local,Message Class,Message Function,Transaction Source,Function Code,Transaction Code,Acquirer Financial Entity,Transaction Reference Number,ARN,Token Requestor ID,Authorization Transaction Log ID,Item Category,RRN,STAN,Description,Card Acceptor Location,MCC,Card Acceptor ID,Terminal Code,Acquirer ID,Acquirer Country,Card Data Input Capability,Cardholder Authentication Availability,Card Capture Capability,Operating Environment,Cardholder Present Indicator,Card Present Indicator,Card Data Input Mode,Cardholder Authentication Method,Cardholder authorization Entity,Pin Capture Capability,Reference,Original Transaction Id,Original Transaction Reference,Balance Before,Surplus Before,Balance After,Surplus After,Credit Debit,Application Sequence
R,149375,1,356,4168.37,682,4168.37,20250208,4168.37,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,122536,20250208,122536,2,2,0,00200,26,,,,,147958,0131,1404995376369375,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,148750,2,356,15.00,682,15.00,20250208,15.00,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,122536,20250208,122536,2,2,0,00200,26,,,,,147958,0131,1404995376808750,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149375,0,,0,,0,0,,0
R,140125,1002,356,125.05,682,125.05,20250208,125.05,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,122536,20250208,122536,2,2,0,00200,26,,,,,00000000000000000000,0131,1404995377180125,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148750,0,,0,,0,0,,0
R,145916,1,356,3330.49,682,3330.49,20250208,3330.49,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,021344,20250208,021344,2,2,0,00200,19,,,,,147958,0131,1404995383165916,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,148833,2,356,17.00,682,17.00,20250208,17.00,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,021344,20250208,021344,2,2,0,00200,19,,,,,147958,0131,1404995383208833,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,145916,0,,0,,0,0,,0
R,147166,1002,356,99.91,682,99.91,20250208,99.91,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,021344,20250208,021344,2,2,0,00200,19,,,,,00000000000000000000,0131,1404995383237166,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148833,0,,0,,0,0,,0
R,148875,1,356,2915.40,682,2915.40,20250208,2915.40,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,023828,20250208,023828,2,2,0,00200,26,,,,,142958,0131,1404995386438875,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,148125,2,356,15.00,682,15.00,20250208,15.00,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,023828,20250208,023828,2,2,0,00200,26,,,,,142958,0131,1404995386468125,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148875,0,,0,,0,0,,0
R,145958,1002,356,87.46,682,87.46,20250208,87.46,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,023828,20250208,023828,2,2,0,00200,26,,,,,00000000000000000000,0131,1404995386495958,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,148125,0,,0,,0,0,,0
R,141041,1,682,3464.59,682,3464.59,20250208,3464.59,682,20250208,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250208,104341,20250208,104341,2,2,0,00200,1,,,,,145875,0131,1404995386561041,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
