RecordType,UNIQUE_ID,Transaction Type,Transaction Currency,Transaction Amount,Billing Currency,Billing Amount,Settlement Date,Settlement Amount,Settlement Currency,System Date,Account Number,Account Id,VPAN,Masked PAN,Date Transmit,Time Transmit,Date Local,Time Local,Message Class,Message Function,Transaction Source,Function Code,Transaction Code,Acquirer Financial Entity,Transaction Reference Number,ARN,Token Requestor ID,Authorization Transaction Log ID,Item Category,RRN,STAN,Description,Card Acceptor Location,MCC,Card Acceptor ID,Terminal Code,Acquirer ID,Acquirer Country,Card Data Input Capability,Cardholder Authentication Availability,Card Capture Capability,Operating Environment,Cardholder Present Indicator,Card Present Indicator,Card Data Input Mode,Cardholder Authentication Method,Cardholder authorization Entity,Pin Capture Capability,Reference,Original Transaction Id,Original Transaction Reference,Balance Before,Surplus Before,Balance After,Surplus After,Credit Debit,Application Sequence
R,140541,1,356,1053.55,682,1053.55,20250207,1053.55,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,015406,20250207,015406,2,2,0,00200,26,,,,,145125,0131,1404995377650541,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,144791,2,356,5.00,682,5.00,20250207,5.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,015406,20250207,015406,2,2,0,00200,26,,,,,145125,0131,1404995377724791,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,140541,0,,0,,0,0,,0
R,148333,1002,356,31.61,682,31.61,20250207,31.61,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,015406,20250207,015406,2,2,0,00200,26,,,,,00000000000000000000,0131,1404995377778333,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,144791,0,,0,,0,0,,0
R,147416,1,356,2706.75,682,2706.75,20250207,2706.75,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,125201,20250207,125201,2,2,0,00200,1,,,,,148208,0131,1404995378747416,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,142000,2,356,406.01,682,406.01,20250207,406.01,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,125201,20250207,125201,2,2,0,00200,1,,,,,148208,0131,1404995378792000,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,147416,0,,0,,0,0,,0
R,146875,1002,356,5.00,682,5.00,20250207,5.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,125201,20250207,125201,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995378836875,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,142000,0,,0,,0,0,,0
R,149166,2,356,5.00,682,5.00,20250207,5.00,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,125201,20250207,125201,2,2,0,00200,1,,,,,148208,0131,1404995378889166,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,147416,0,,0,,0,0,,0
R,145250,1002,356,81.20,682,81.20,20250207,81.20,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,125201,20250207,125201,2,2,0,00200,1,,,,,00000000000000000000,0131,1404995378935250,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,149166,0,,0,,0,0,,0
R,143958,1,356,1177.54,682,1177.54,20250207,1177.54,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110759,20250207,110759,2,2,0,00200,1,,,,,148041,0131,1404995379783958,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,,0,,0,,0,0,,0
R,141666,2,356,176.63,682,176.63,20250207,176.63,682,20250207,6826000000000327,6826000000000327,9001000004545245,401778_5245,20250207,110759,20250207,110759,2,2,0,00200,1,,,,,148041,0131,1404995379831666,0,Generated transaction,CARD ACCEPTOR~ATM Riyadh~CITY NAME~             682,0,,,,,,,,,,,,,,,143958,0,,0,,0,0,,0
